Year,District Code,District Name,Building Number,Building Name,Total September Membership,Federal Expenditures Building,State and Local Expenditures Building,Total Building,Federal Expenditures District,State and Local Expenditures District,Total District,Expenditures Per September Membership,,,,,,,,,,,,,,,,,,,,,,,
2019,001-090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,95.00,$162.08,"$10,001.70","$10,163.78",$0.00,"$3,554.66","$3,554.66","$13,718.44",,,,,,,,,,,,,,,,,,,,,,,
2019,001-090,ADAIR CO. R-I,4020,ADAIR CO. ELEM.,120.00,$663.82,"$5,714.72","$6,378.55",$0.00,"$3,554.66","$3,554.66","$9,933.21",,,,,,,,,,,,,,,,,,,,,,,
2019,001-090,ADAIR CO. R-I,9999,DISTRICT TOTALS,215.00,$442.12,"$11,163.63","$11,605.75",$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,
2019,001-091,KIRKSVILLE R-III,1050,KIRKSVILLE SR. HIGH,736.63,$469.76,"$6,794.20","$7,263.96",$0.00,"$2,588.54","$2,588.54","$9,852.50",,,,,,,,,,,,,,,,,,,,,,,
2019,001-091,KIRKSVILLE R-III,3000,WILLIAM MATTHEW MIDDLE SCHOOL,579.33,$171.20,"$5,579.88","$5,751.08",$0.00,"$2,588.54","$2,588.54","$8,339.63",,,,,,,,,,,,,,,,,,,,,,,
2019,001-091,KIRKSVILLE R-III,4030,KIRKSVILLE PRIMARY,528.05,$932.93,"$11,331.80","$12,264.73",$0.00,"$2,588.54","$2,588.54","$14,853.27",,,,,,,,,,,,,,,,,,,,,,,
2019,001-091,KIRKSVILLE R-III,4050,RAY MILLER ELEM.,563.00,$367.16,"$5,616.44","$5,983.60",$0.00,"$2,588.54","$2,588.54","$8,572.14",,,,,,,,,,,,,,,,,,,,,,,
2019,001-091,KIRKSVILLE R-III,9999,DISTRICT TOTALS,"2,407.01",$475.51,"$9,810.46","$10,285.97",$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,
2019,001-092,ADAIR CO. R-II,1050,ADAIR CO. HIGH,79.00,$410.17,"$10,507.07","$10,917.24",$0.00,"$3,721.52","$3,721.52","$14,638.76",,,,,,,,,,,,,,,,,,,,,,,
2019,001-092,ADAIR CO. R-II,4020,ADAIR CO. ELEM.,68.26,$706.49,"$7,191.46","$7,897.95",$0.00,"$3,721.52","$3,721.52","$11,619.47",,,,,,,,,,,,,,,,,,,,,,,
2019,001-092,ADAIR CO. R-II,9999,DISTRICT TOTALS,147.26,$547.53,"$12,691.69","$13,239.22",$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,
2019,002-089,NORTH ANDREW CO. R-VI,1050,NORTH ANDREW HIGH,115.00,$0.00,"$12,184.12","$12,184.12",$547.82,"$2,417.93","$2,965.75","$15,149.86",,,,,,,,,,,,,,,,,,,,,,,
2019,002-089,NORTH ANDREW CO. R-VI,3000,NORTH ANDREW MIDDLE,96.00,$0.00,"$3,151.37","$3,151.37",$547.82,"$2,417.93","$2,965.75","$6,117.12",,,,,,,,,,,,,,,,,,,,,,,
2019,002-089,NORTH ANDREW CO. R-VI,4020,NORTH ANDREW ELEM.,144.00,"$1,318.32","$8,998.02","$10,316.34",$547.82,"$2,417.93","$2,965.75","$13,282.09",,,,,,,,,,,,,,,,,,,,,,,
2019,002-089,NORTH ANDREW CO. R-VI,9999,DISTRICT TOTALS,355.00,"$1,082.57","$10,867.00","$11,949.57",$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,
2019,002-090,AVENUE CITY R-IX,4020,AVENUE CITY ELEM.,212.00,$343.82,"$6,351.58","$6,695.40",$49.24,"$2,286.11","$2,335.35","$9,030.75",,,,,,,,,,,,,,,,,,,,,,,
2019,002-090,AVENUE CITY R-IX,9999,DISTRICT TOTALS,212.00,$393.05,"$8,637.69","$9,030.75",$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,
2019,002-097,SAVANNAH R-III,1050,SAVANNAH HIGH,685.88,$230.89,"$6,518.50","$6,749.39",$1.39,"$2,266.54","$2,267.93","$9,017.32",,,,,,,,,,,,,,,,,,,,,,,
2019,002-097,SAVANNAH R-III,3000,SAVANNAH MIDDLE,514.00,$307.85,"$5,707.98","$6,015.83",$1.39,"$2,266.54","$2,267.93","$8,283.77",,,,,,,,,,,,,,,,,,,,,,,
2019,002-097,SAVANNAH R-III,4010,AMAZONIA ELEM.,93.00,$106.65,"$8,620.32","$8,726.98",$1.39,"$2,266.54","$2,267.93","$10,994.91",,,,,,,,,,,,,,,,,,,,,,,
2019,002-097,SAVANNAH R-III,4015,HELENA ELEM.,93.00,$0.00,"$9,312.63","$9,312.63",$1.39,"$2,266.54","$2,267.93","$11,580.57",,,,,,,,,,,,,,,,,,,,,,,
2019,002-097,SAVANNAH R-III,4020,JOHN GLENN ELEM.,285.00,$4.74,"$5,144.71","$5,149.45",$1.39,"$2,266.54","$2,267.93","$7,417.38",,,,,,,,,,,,,,,,,,,,,,,
2019,002-097,SAVANNAH R-III,4040,MINNIE CLINE ELEM.,584.00,$132.40,"$4,735.94","$4,868.33",$1.39,"$2,266.54","$2,267.93","$7,136.27",,,,,,,,,,,,,,,,,,,,,,,
2019,002-097,SAVANNAH R-III,9999,DISTRICT TOTALS,"2,254.88",$181.08,"$8,166.90","$8,347.99",$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,
2019,003-031,TARKIO R-I,1050,TARKIO HIGH,150.84,$559.47,"$9,677.38","$10,236.85",$366.27,"$4,233.36","$4,599.63","$14,836.48",,,,,,,,,,,,,,,,,,,,,,,
2019,003-031,TARKIO R-I,4020,TARKIO ELEM.,181.43,$168.73,"$10,155.43","$10,324.16",$366.27,"$4,233.36","$4,599.63","$14,923.79",,,,,,,,,,,,,,,,,,,,,,,
2019,003-031,TARKIO R-I,9999,DISTRICT TOTALS,332.27,$712.38,"$14,171.77","$14,884.15",$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,
2019,003-032,ROCK PORT R-II,1050,ROCK PORT HIGH,151.00,$88.19,"$8,850.46","$8,938.65",$226.09,"$2,588.39","$2,814.47","$11,753.12",,,,,,,,,,,,,,,,,,,,,,,
2019,003-032,ROCK PORT R-II,4020,ROCK PORT ELEM.,194.00,$543.24,"$7,092.91","$7,636.16",$226.09,"$2,588.39","$2,814.47","$10,450.63",,,,,,,,,,,,,,,,,,,,,,,
2019,003-032,ROCK PORT R-II,9999,DISTRICT TOTALS,345.00,$570.16,"$10,450.55","$11,020.71",$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,
2019,003-033,FAIRFAX R-III,1050,FAIRFAX HIGH,67.00,$0.00,"$10,602.04","$10,602.04",$34.22,"$3,375.93","$3,410.15","$14,012.19",,,,,,,,,,,,,,,,,,,,,,,
