,DIST_CODE,SCHL_CODE,SCHNAME,latitude,longitude
0,115933,6905,Atlas Elementary ,38.6343987,-90.25024889163743
1,48914,1920,Academie Lafayette Armour Ihs ,39.06335025,-94.58276831279105
2,48914,1910,Academie Lafayette Armour IMS,39.06335025,-94.58276831279105
3,48914,6941,Academie Lafayette Cherry Elem ,39.06447165,-94.57786365934203
4,48914,6940,Academie Lafayette Oak Elem,39.00265945454546,-94.58426354545455
5,48927,6995,Academy For Integrated Arts ,38.98394045,-94.57644755608223
6,1090,4020,Adair Co. Elem. ,40.2359499,-92.7044267
7,1090,1050,Adair Co. High ,40.2359499,-92.7044267
8,1092,4020,Adair Co. Elem. ,,
9,1092,1050,Adair Co. High ,,
10,7123,4020,Adrian Elem. ,,
11,7123,1050,Adrian Sr. High ,,
12,103129,4020,Advance Elem. ,37.108617,-89.904889
13,103129,1050,Advance High ,37.108617,-89.904889
14,103129,7500,Advance Preschool ,37.1035391010101,-89.92707293939394
15,96098,1050,Affton High ,38.560036238188545,-90.32199276130179
16,96098,4080,Gotsch Intermediate School ,,
17,96098,4040,Mesnier Primary School ,38.55620534216468,-90.33613984808422
18,96098,3000,Rogers Middle ,38.57355081071688,-90.31952297504486
19,38046,1050,Albany High ,40.250765,-94.332831
20,38046,3000,Albany Middle ,40.250765,-94.332831
21,38046,4020,Virginia E. George Elem. ,,
22,48909,6915,Allen Village Elementary ,39.052914799999996,-94.59486014595316
23,48909,1980,Allen Village High School ,39.052914799999996,-94.59486014595316
24,48909,3930,Allen Village Junior ,39.052914799999996,-94.59486014595316
25,48909,7500,Allen Village Preschool ,39.04015630612245,-94.55450359183673
26,48909,6905,Allen Village Primary ,39.052914799999996,-94.59486014595316
27,79078,4020,Altenburg Elem. ,37.629300827162744,-89.59182571179105
28,75087,4020,Alton Elementary,36.617184,-89.819396
29,75087,1050,Alton High,36.691203,-91.400256
30,93120,4010,Appleton City Elem. ,,
31,93120,1050,Appleton City High ,,
32,47062,1100,Arcadia Valley Career Tech Center ,37.026811,-94.426706
33,47062,4020,Arcadia Valley Elem. ,37.026811,-94.426706
34,47062,1050,Arcadia Valley High ,,
35,47062,3000,Arcadia Valley Middle ,37.026811,-94.426706
36,19139,1050,Archie High ,41.062213224489795,-96.64325787755102
37,19139,4020,Cass Co. Elem. ,41.062213224489795,-96.64325787755102
38,39135,4020,Ash Grove Elem. ,37.313759,-93.578209
39,39135,1050,Ash Grove High ,37.313759,-93.578209
40,39135,4040,Bois D'Arc Elem. ,,
41,61150,4020,Atlanta Elem. ,39.896596,-92.47938
42,61150,1050,Atlanta High ,39.896596,-92.47938
43,55110,1050,Aurora High ,36.95490364779005,-93.72655042059829
44,55110,2050,Aurora Jr. High ,,
45,55110,4020,Pate Early Childhood Center ,36.964584,-93.741676
46,55110,4060,Robinson School ,36.96438075510204,-93.72721140816327
47,34124,4020,Ava Elem. ,36.954888,-92.658617
48,34124,1050,Ava High ,36.954888,-92.658617
49,34124,3000,Ava Middle ,36.954888,-92.658617
50,2090,4020,Avenue City Elem. ,,
51,49135,4020,Avilla Elem. ,37.192372,-94.12979
52,77101,4020,Bakersfield Elem. ,36.5268539,-92.1574672
53,77101,1050,Bakersfield High ,36.5268539,-92.1574672
54,7122,4020,Ballard Elem. ,36.596034,-90.248772
55,7122,1050,Ballard High ,36.596034,-90.248772
56,96099,4020,Bayless Elementary ,38.552340439979154,-90.30001267109557
57,96099,2000,Bayless Junior High ,38.55218108706428,-90.30006702287093
