YEAR,COUNTY_DISTRICT_CODE,DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,ADMINISTRATOR_FTE,ADMINISTRATOR_SALARY_AVERAGE,TEACHER_FTE,TEACHER_SALARY_AVG,TEACHER_SALARY_AVG_REG_TERM,TEACHER_AVERAGE_YEARS_EXP,TEACHER_MAST_DEGREE_PERCENT
2012,001090,ADAIR CO. R-I,1000,CENTRAL OFFICE,2.00,76819,0.00,0,0,0,0
2013,001090,ADAIR CO. R-I,1000,CENTRAL OFFICE,1.90,79827,0.00,0,0,0,0
2014,001090,ADAIR CO. R-I,1000,CENTRAL OFFICE,0.50,86200,0.00,0,0,0,0
2015,001090,ADAIR CO. R-I,1000,CENTRAL OFFICE,1.00,86200,0.00,0,0,0,0
2016,001090,ADAIR CO. R-I,1000,CENTRAL OFFICE,1.00,88300,0.00,0,0,0,0
2017,001090,ADAIR CO. R-I,1000,CENTRAL OFFICE,1.00,90508,0.00,0,0,0,0
2018,001090,ADAIR CO. R-I,1000,CENTRAL OFFICE,1.00,92987,0.00,0,0,0,0
2019,001090,ADAIR CO. R-I,1000,CENTRAL OFFICE,1.00,95368,0.00,0,0,0,0
2012,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,0.00,0,12.79,35727,33265,14.4,56
2013,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,0.10,68500,13.90,37838,35903,17.8,74.8
2014,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,0.25,42800,13.90,37569,35675,16.4,69.4
2015,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,0.50,21664,13.90,37569,35633,16.4,62.2
2016,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,1.00,27435,12.40,36052,36052,14.7,53.6
2017,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,0.40,46963,12.65,35587,35587,13,50.6
2018,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,0.40,48150,11.65,38083,37698,16.1,50.6
2019,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,0.40,39470,12.15,37943,37650,16.6,69
2012,001090,ADAIR CO. R-I,4020,ADAIR CO. ELEM.,0.00,0,12.96,34772,34473,16.2,79.8
2013,001090,ADAIR CO. R-I,4020,ADAIR CO. ELEM.,0.00,0,12.60,34536,34036,14,74.2
2014,001090,ADAIR CO. R-I,4020,ADAIR CO. ELEM.,1.25,58161,12.10,35361,34635,14.7,71.1
2015,001090,ADAIR CO. R-I,4020,ADAIR CO. ELEM.,1.50,49889,12.10,35361,34704,14.5,62.8
2016,001090,ADAIR CO. R-I,4020,ADAIR CO. ELEM.,1.50,55957,11.10,34185,34185,11.7,50.5
2017,001090,ADAIR CO. R-I,4020,ADAIR CO. ELEM.,1.40,61374,12.10,34231,34231,11.4,48.3
2018,001090,ADAIR CO. R-I,4020,ADAIR CO. ELEM.,2.40,47040,11.10,36998,35870,12.8,52.7
2019,001090,ADAIR CO. R-I,4020,ADAIR CO. ELEM.,2.40,46592,11.10,36471,35421,11.8,57.4
